secid,date,symbol,expiration,cp_flag,strike,best_bid,best_offer,implied_volatility,expiryindicator,amsettlement
108105.0,2020-06-15,SPX 200619C2520000,2020-06-19,C,2520000.0,535.7,546.4,,,1.0
108105.0,2020-06-15,SPX 200619C2525000,2020-06-19,C,2525000.0,525.1,547.0,,,1.0
108105.0,2020-06-15,SPX 200619C2530000,2020-06-19,C,2530000.0,520.1,542.0,,,1.0
108105.0,2020-06-15,SPX 200619C2535000,2020-06-19,C,2535000.0,521.3,532.0,,,1.0
108105.0,2020-06-15,SPX 200619C2540000,2020-06-19,C,2540000.0,516.3,526.4,,,1.0
108105.0,2020-06-15,SPX 200619C2545000,2020-06-19,C,2545000.0,510.8,521.5,,,1.0
108105.0,2020-06-15,SPX 200619C2550000,2020-06-19,C,2550000.0,505.8,516.5,,,1.0
108105.0,2020-06-15,SPX 200619C2555000,2020-06-19,C,2555000.0,500.8,511.5,,,1.0
108105.0,2020-06-15,SPX 200619C2560000,2020-06-19,C,2560000.0,490.2,512.1,,,1.0
108105.0,2020-06-15,SPX 200619C2565000,2020-06-19,C,2565000.0,490.8,501.5,,,1.0
108105.0,2020-06-15,SPX 200619C2570000,2020-06-19,C,2570000.0,485.8,496.5,,,1.0
108105.0,2020-06-15,SPX 200619C2575000,2020-06-19,C,2575000.0,481.4,491.5,,,1.0
108105.0,2020-06-15,SPX 200619C2580000,2020-06-19,C,2580000.0,475.9,486.6,,,1.0
108105.0,2020-06-15,SPX 200619C2585000,2020-06-19,C,2585000.0,466.3,487.2,,,1.0
108105.0,2020-06-15,SPX 200619C2590000,2020-06-19,C,2590000.0,465.9,476.6,,,1.0
108105.0,2020-06-15,SPX 200619C2595000,2020-06-19,C,2595000.0,456.5,477.2,,,1.0
108105.0,2020-06-15,SPX 200619C2600000,2020-06-19,C,2600000.0,450.8,472.2,,,1.0
108105.0,2020-06-15,SPX 200619C2605000,2020-06-19,C,2605000.0,445.4,466.0,,,1.0
108105.0,2020-06-15,SPX 200619C2610000,2020-06-19,C,2610000.0,446.3,457.0,,,1.0
108105.0,2020-06-15,SPX 200619C2615000,2020-06-19,C,2615000.0,435.8,457.3,,,1.0
108105.0,2020-06-15,SPX 200619C2620000,2020-06-19,C,2620000.0,431.0,452.3,,,1.0
108105.0,2020-06-15,SPX 200619C2625000,2020-06-19,C,2625000.0,431.6,442.0,,,1.0
108105.0,2020-06-15,SPX 200619C2630000,2020-06-19,C,2630000.0,420.4,442.3,,,1.0
108105.0,2020-06-15,SPX 200619C2635000,2020-06-19,C,2635000.0,421.4,432.1,,,1.0
108105.0,2020-06-15,SPX 200619C2640000,2020-06-19,C,2640000.0,410.8,432.4,,,1.0
108105.0,2020-06-15,SPX 200619C2645000,2020-06-19,C,2645000.0,405.8,427.4,,,1.0
108105.0,2020-06-15,SPX 200619C2650000,2020-06-19,C,2650000.0,400.5,422.4,,,1.0
108105.0,2020-06-15,SPX 200619C2655000,2020-06-19,C,2655000.0,395.6,417.4,,,1.0
108105.0,2020-06-15,SPX 200619C2660000,2020-06-19,C,2660000.0,390.6,412.4,,,1.0
108105.0,2020-06-15,SPX 200619C2665000,2020-06-19,C,2665000.0,385.9,407.5,,,1.0
108105.0,2020-06-15,SPX 200619C2670000,2020-06-19,C,2670000.0,386.7,396.6,,,1.0
108105.0,2020-06-15,SPX 200619C2675000,2020-06-19,C,2675000.0,375.9,397.5,,,1.0
108105.0,2020-06-15,SPX 200619C2680000,2020-06-19,C,2680000.0,370.7,391.3,,,1.0
108105.0,2020-06-15,SPX 200619C2685000,2020-06-19,C,2685000.0,371.9,382.6,,,1.0
108105.0,2020-06-15,SPX 200619C2690000,2020-06-19,C,2690000.0,360.9,382.6,,,1.0
108105.0,2020-06-15,SPX 200619C2695000,2020-06-19,C,2695000.0,362.0,372.7,,,1.0
108105.0,2020-06-15,SPX 200619C2700000,2020-06-19,C,2700000.0,357.0,366.8,,,1.0
108105.0,2020-06-15,SPX 200619C2705000,2020-06-19,C,2705000.0,346.0,367.7,,,1.0
