expiry,T,r,strike,side,type,dK,weight,mid,cp_flag
2020-07-13,0.07671232876712329,0.0,3005.0,P,OTM,5.0,1.4435966994237874e-05,78.85,P
2020-07-13,0.07671232876712329,0.0,3010.0,P,OTM,5.0,1.4388046804907545e-05,80.45,P
2020-07-13,0.07671232876712329,0.0,3015.0,P,OTM,5.0,1.4340364826738926e-05,82.15,P
2020-07-13,0.07671232876712329,0.0,3020.0,P,OTM,5.0,1.4292919483481299e-05,83.75,P
2020-07-13,0.07671232876712329,0.0,3025.0,P,OTM,5.0,1.4245709211900047e-05,85.5,P
2020-07-13,0.07671232876712329,0.0,3030.0,P,OTM,5.0,1.4198732461647862e-05,87.25,P
2020-07-13,0.07671232876712329,0.0,3035.0,P,OTM,5.0,1.4151987695137492e-05,89.0,P
2020-07-13,0.07671232876712329,0.0,3040.0,P,OTM,5.0,1.4105473387415908e-05,90.85,P
2020-07-13,0.07671232876712329,0.0,3045.0,P,OTM,5.0,1.4059188026039927e-05,92.65,P
2020-07-13,0.07671232876712329,0.0,3050.0,P,OTM,5.0,1.4013130110953274e-05,94.55,P
2020-07-13,0.07671232876712329,0.0,3055.0,P,OTM,5.0,1.3967298154365047e-05,96.45,P
2020-07-13,0.07671232876712329,0.0,3060.0,C,OTM,5.0,1.3921690680629549e-05,97.25,C
2020-07-13,0.07671232876712329,0.0,3065.0,C,OTM,5.0,1.3876306226127525e-05,94.25,C
2020-07-13,0.07671232876712329,0.0,3070.0,C,OTM,5.0,1.3831143339148729e-05,91.25,C
2020-07-13,0.07671232876712329,0.0,3075.0,C,OTM,5.0,1.3786200579775833e-05,88.35,C
2020-07-13,0.07671232876712329,0.0,3080.0,C,OTM,5.0,1.3741476519769654e-05,85.45,C
2020-07-13,0.07671232876712329,0.0,3085.0,C,OTM,5.0,1.3696969742455688e-05,82.65,C
2020-07-13,0.07671232876712329,0.0,3090.0,C,OTM,5.0,1.3652678842611918e-05,79.85,C
2020-07-13,0.07671232876712329,0.0,3095.0,C,OTM,5.0,1.3608602426357886e-05,77.15,C
2020-07-13,0.07671232876712329,0.0,3100.0,C,OTM,5.0,1.3564739111045043e-05,74.45,C
2020-07-13,0.07671232876712329,0.0,3105.0,C,OTM,5.0,1.3521087525148296e-05,71.75,C
2020-07-13,0.07671232876712329,0.0,3110.0,C,OTM,5.0,1.3477646308158811e-05,69.15,C
2020-07-13,0.07671232876712329,0.0,3115.0,C,OTM,5.0,1.3434414110477995e-05,66.65,C
2020-07-13,0.07671232876712329,0.0,3120.0,C,OTM,5.0,1.339138959331267e-05,64.15,C
2020-07-13,0.07671232876712329,0.0,3125.0,C,OTM,5.0,1.3348571428571428e-05,61.7,C
2020-07-13,0.07671232876712329,0.0,3130.0,C,OTM,5.0,1.3305958298762144e-05,59.3,C
2020-07-13,0.07671232876712329,0.0,3135.0,C,OTM,5.0,1.3263548896890623e-05,57.0,C
2020-07-13,0.07671232876712329,0.0,3140.0,C,OTM,5.0,1.3221341926360385e-05,54.7,C
2020-07-13,0.07671232876712329,0.0,3145.0,C,OTM,5.0,1.3179336100873553e-05,52.5,C
2020-07-13,0.07671232876712329,0.0,3150.0,C,OTM,5.0,1.3137530144332865e-05,50.3,C
2020-07-13,0.07671232876712329,0.0,3155.0,C,OTM,5.0,1.3095922790744734e-05,48.2,C
2020-07-13,0.07671232876712329,0.0,3160.0,C,OTM,5.0,1.3054512784123424e-05,46.2,C
2020-07-13,0.07671232876712329,0.0,3165.0,C,OTM,5.0,1.3013298878396247e-05,44.2,C
2020-07-13,0.07671232876712329,0.0,3170.0,C,OTM,5.0,1.297227983730984e-05,42.25,C
2020-07-13,0.07671232876712329,0.0,3175.0,C,OTM,5.0,1.2931454434337437e-05,40.4,C
2020-07-13,0.07671232876712329,0.0,3180.0,C,OTM,5.0,1.2890821452587205e-05,38.55,C
2020-07-13,0.07671232876712329,0.0,3185.0,C,OTM,5.0,1.2850379684711532e-05,36.8,C
2020-07-13,0.07671232876712329,0.0,3190.0,C,OTM,5.0,1.281012793281737e-05,35.1,C
2020-07-13,0.07671232876712329,0.0,3195.0,C,OTM,5.0,1.277006500837751e-05,33.45,C
2020-07-13,0.07671232876712329,0.0,3200.0,C,OTM,15.0,3.819056919642857e-05,31.849999999999998,C
2020-07-13,0.07671232876712329,0.0,3225.0,C,OTM,25.0,6.266793719470841e-05,24.8,C
2020-07-13,0.07671232876712329,0.0,3250.0,C,OTM,25.0,6.170752324598477e-05,19.15,C
2020-07-13,0.07671232876712329,0.0,3275.0,C,OTM,25.0,6.076901945441074e-05,14.6,C
2020-07-13,0.07671232876712329,0.0,3300.0,C,OTM,25.0,5.985176439721894e-05,11.1,C
2020-07-13,0.07671232876712329,0.0,3325.0,C,OTM,25.0,5.895512142332199e-05,8.45,C
2020-07-13,0.07671232876712329,0.0,3350.0,C,OTM,25.0,5.8078477548292646e-05,6.45,C
2020-07-13,0.07671232876712329,0.0,3375.0,C,OTM,25.0,5.7221242406427586e-05,4.95,C
2020-07-13,0.07671232876712329,0.0,3400.0,C,OTM,25.0,5.638284725654968e-05,3.85,C
2020-07-13,0.07671232876712329,0.0,3425.0,C,OTM,25.0,5.556274403842201e-05,3.0250000000000004,C
2020-07-13,0.07671232876712329,0.0,3450.0,C,OTM,37.5,8.214060671527589e-05,2.425,C
2020-07-13,0.07671232876712329,0.0,3500.0,C,OTM,75.0,0.00015962099125364432,1.6,C
2020-07-13,0.07671232876712329,0.0,3600.0,C,OTM,100.0,0.00020116843033509698,0.75,C
2020-07-13,0.07671232876712329,0.0,3700.0,C,OTM,100.0,0.00019044140665762285,0.375,C
2020-07-13,0.07671232876712329,0.0,3800.0,C,OTM,100.0,0.0001805500593589236,0.19999999999999998,C
2020-07-13,0.07671232876712329,0.0,3900.0,C,OTM,100.0,0.00017140978679440217,0.125,C
2020-07-13,0.07671232876712329,0.0,4000.0,C,OTM,100.0,0.00016294642857142856,0.1,C
2020-07-13,0.07671232876712329,0.0,4100.0,C,OTM,100.0,0.00015509475652247812,0.125,C
2020-07-13,0.07671232876712329,0.0,4200.0,C,OTM,100.0,0.00014779721412374472,0.1,C
2020-07-13,0.07671232876712329,0.0,4300.0,C,OTM,100.0,0.00014100285868809393,0.1,C
2020-07-13,0.07671232876712329,0.0,4400.0,C,OTM,100.0,0.00013466646989374262,0.1,C
2020-07-13,0.07671232876712329,0.0,4500.0,C,OTM,100.0,0.00012874779541446207,0.1,C
